Check No.,Severity,Description,Interpretation Guidance
10,Error,"LBNRIND is null but either LBORNRLO, LBORNRHI or LBSTNRC has been provided","LBNRIND is derived by comparing LBORRES to LBORNRLO/LBORNRHI for continuous measures, and comparing LBSTRESC with LBSTNRC for discrete measures. If LBNRIND is empty when ranges have been provided, please investigate why and ensure derivation or correction"
11,Error,LBORNRLO has been provided but LBSTNRLO has not been provided (and vice versa),"If a lower range LBORNRLO has been provided for results in original units, then a lower range would be expected in standard units and vice versa. Please ensure ranges are available in both original and standard units. For some oncology trials, generic ranges in standard units are entered without the ranges in original units. For those trials, this output can be ignored"
12,Error,LBSTNORHI has been provided but LBSTNRHI has not be provided (and vice versa),"If an upper range LBORNRHI has been provided for results in original units, then an upper range would be expected in standard units and vice versa. Please ensure ranges are available in both original and standard units. For some oncology trials, generic ranges in standard units are entered without the ranges in original units. For those trials, this output can be ignored"
13,Error,"LBORRES contains a qualifier, the result is continuous and LBSTRESN is not null","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, but where the result LBORRES contains a qualifier such as <, <=, > or >=, then, the standardized result (LBSTRESC) should be populated (with conversion if necessary) and prefixed with the same qualifier, and LBSTRESN should be null. If LBSTRESN is not null, please correct the data to be compliant with the rule"
14,Error,"LBORRES contains a qualifier, the result is continuous and LBSTRESC does not contain the same qualifer","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, but where the result LBORRES contains a qualifier such as <, <=, > or >=, then, the standardized result should be populated (with conversion if necessary) and prefixed with the same qualifier in LBSTRESC. If the qualifiers are different between LBORRESU and LBSTRESC, please correct the data to be compliant with the rule"
15,Error,"If ORSTRESU is present in SUPPLB, it should be differ from LBORRESU and LBSTRESU","The Lab Data Handling and Derivations document stored in the same location as the gDTA and tsDTA templates, contains a section (example 6) detailing the requirement to only populate SUPPLB.ORSTRESU when converting and overwriting a delivered LBSTRESU to an LBSTRESU matching LUDWIG, and where the overwritten value is not present also as the unit for original results. This check identifies ORSTRESU values not compliant with the rule and where ORSTRESU values have been provided when not needed. Please remove listed ORSTRESU values from the SUPPLB domain"
18,Error,"If LBORNRLO contains a qualifier, it should be either > or >=","The Lab Data Handling and Derivations document stored in the same location as the gDTA and tsDTA templates, contains a section (example 5) detailing how to populate the normal range variables for single sided ranges (such as >10 or <=20. The single sided range should be placed in the LBORNRLO and HI depending on what is being tested. If the range is <=20, then we need to test for values greater than 20 and so the single sided range should be placed in the LBORNRHI field. If the range is >10, then we need to test for values less and or equal to 10 and so the single sided range should be placed in the LBORNRLO field. Please correct output to make sure that this rule is complied with."
19,Error,"If LBORNRHI contains a qualifier, it should be either < or <=","The Lab Data Handling and Derivations document stored in the same location as the gDTA and tsDTA templates, contains a section (example 5) detailing how to populate the normal range variables for single sided ranges (such as >10 or <=20. The single sided range should be placed in the LBORNRLO and HI depending on what is be tested. If the range is <=20, then we need to test for values greater than 20 and so the single sided range should be placed in the LBORNRHI field. If the range is >10, then we need to test for values less and or equal to 10 and so the single sided range should be placed in the LBORNRLO field. Please correct output to make sure that this rule is complied with"
20,Error,If LBORNRLO contains a qualifier and that qualifier = '>' or '>=' then SUPPLB.LBSTNRLQ should be present and populate with the same qualifier,"If LBORNRLO contains a qualifier, then the qualifier can not be copied to LBSTNRLO since the standard ranges are true numeric values in SDTM. For this reason the value from LBORNRLO should be copied (with conversion if necessary) to LBSTNRLO, but the qualifer should be placed in a SUPPLB.LBSTNRLQ field. Please ensure the data are compliant with this rule"
21,Error,If LBORNRHI contains a qualifier and that qualifier =' <' or '<=' then SUPPLB.LBSTNRHQ should be present and populated with the same qualifier,"If LBORNRHI contains a qualifier, then the qualifier can not be copied to LBSTNRHI since the standard ranges are true numeric values in SDTM. For this reason the value from LBORNRHI should be copied (with conversion if necessary) to LBSTNRHI, but the qualifer should be placed in a SUPPLB.LBSTNRHQ field. Please ensure the data are compliant with this rule"
22,Error,"For discrete tests, check if the LBORRES is in Appendix 2 and ensure that the correct standardized representation is presented in LBSTRESC","The Lab Data Handling and Derivations document appendix 2 is an Excel spreadsheet that maps discrete LBORRES values to a standardized representation in LBSTRESC. The requirement to standardize LBSTRESC is required by the SDTM implementation guide and a limited amount of controlled terminology has been published by CDISC. A copy of the approved mappings from appendix 2 and new mapping which have since been added, are located in the last tab of this spreadsheet. There are still many way to discretely report test results for which no mapping is present, these include numeric discrete result (eg from a disptick) as well as titer results (eg 1:20) and other results. The purpose of this check is to list all discrete results that are not aligned to the mapping (see last tab) and to ensure that they are mapped correct (if a mapping exists). If no mapping exists, the results should at least be upper case and make sense for the test in question."
23,Visual check,List out a distinct set of discrete test/result/nrc combination that have an LBNRIND of abnormal,"This is a visual based check and not an exception based check. For tests yielding a discrete measure, LBNRIND is derived by looking for a match of the standardized discrete representation of the result (LBSTRESC) with a list of standardized values considered normal (LBSTNRC). If there is a match, LBNRIND is NORMAL, if there is no match, LBNRIND is abnormal. This is a listing of unique combinations of values that derive to an abnormal LBNRIND. Scan each of the records to make sure that the derivation looks logical and query anything that does not look logical"
24,Visual check,List out a distinct set of discrete test/result/nrc combination that have an LBNRIND of normal,"This is a visual based check and not an exception based check. For tests yielding a discrete measure, LBNRIND is derived by looking for a match of the standardized discrete representation of the result (LBSTRESC) with a list of standardized values considered normal (LBSTNRC). If there is a match, LBNRIND is NORMAL, if there is no match, LBNRIND is abnormal. This is a listing of unique combinations of values that derive to a normal LBNRIND. Scan each of the records to make sure that the derivation looks logical and query anything that does not look logical"
25,Error,Flag error if LBORNRLO = LBORNRHI when both are not null,"For tests yielding a discrete measure, when a reference range is present, the lower limit and upper limit in original results should be placed in LBORNRLO and LBORNRHI respectively. It is extremely unlikely that these two values are exactly the same. It is often the case that a reference range is 0. In this later case, this should be treated as a zero value reference range (See Lab Data Handling and Derivation document example 4) where the zero value is only placed in the upper limit of normal. If lower and upper limits have both been set to zero, then please correct as per example 4. If lower and upper limits match and both values are not zero, please investigate if the data are correct."
26,Error,Flag error if LBSTNRLO = LBSTNRHI when both are not null,"For tests yielding a discrete measure, when a reference range is present, the lower limit and upper limit in standard results should be placed in LBSTNRLO and LBSTNRHI respectively. It is extremely unlikely that these two values are exactly the same. It is often the case that a reference range is 0. In this later case, this should be treated as a zero value reference range (See Lab Data Handling and Derivation document example 4) where the zero value is only placed in the upper limit of normal. If lower and upper limits have both been set to zero, then please correct as per example 4. If lower and upper limits match and both values are not zero, please investigate if the data are correct."
27,Visual check,Frequency table of NOT DONE with distinct reasons,"This is a visual based check and not an exception based check. For any records which are not done, the LBSTAT should be NOT DONE and a reason should be placed in the LBREASND. This check lists a distinct set of reasons why tests have not been performed. Please review each reason and make sure that the reasons looks valid. It is sometimes the case that values such as Too Numerous To Count or Below Quanitifiable Limits are placed in the reason not done field. Such values are results that belong in LBORRES/LBSTRESC, so if you see any reason text that actually a result, please address having them reported as results rather than reasons not done."
28,Visual check,Frequency table of LBNRIND,"This is a visual based check and not an exception based check. Tests can be split into two types&.those performed and reported multiple times over visits for all patients (eg Hemoglobin) and those which are performed but only reported when observed (eg atypical lypmohcytes). This visual check is aimed at the former (those tests where we expect multiple results for all subjects). For a normal population, we expect 95% of values to fall within range, and 5% to fall outside of range, but we also know that in many of our trials, the population is not ""normal"". For this check, it is recommended for the each test which is continuous, look at the percentage normal where this value is below 70%. Can this be explained by the disease area under study, or could this be due to a derivation error in LBNRIND. Investigate any such cases.  In addition, for continuous measures where LBNRIND is blank for all records, this may be due to a missing range. Have missing ranges been confirmed and documented with the lab. For discrete measures, if there is no range, there is no requirement to obtain the values considered normal to populate into LBSTNRC and these LBNRINDs can be left blank. Finally, when the number of observations is small, it is possible for percentages not to be truly representative. Please use common sense and check anything that seems unusual."
29,Error,"If the test is discrete and LBORRES is populated, LBORRESU should be null","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a discrete measure, no ORRESU should be provided. If the result is a discrete estimate from a dipstick, such as 30 mg/dL, then the unit should be concatenated into the LBORRES field. Please ensure that the requirement for an empty LBORRESU value for discrete measures in complied with."
30,Error,"If the record indicated Not Done, LBORRES, LBORRESU, LBORNRLO, LBORNRHI, LBSTRESC, LBSTRESN, LBSTRESU, LBSTNRC, LBNRIND should be null","For not done records, only a limited number of fields should be completed (reference Lab Data Handling and Derivation document example 9). This check lists records which are not compliant and which must be corrected"
31,Error,"For continuous record, derive LBNRIND based on ORRES values - check it matches LBNRIND provided in the dataset (use rules from document)","This check derives the LBNRIND for continuous measures ,according to the derivation rules detailed in the lab data handling and reference documentation, and compares it with the normal range indicator provided in the LB dataset, and lists out records where there is no match. Investigate non-matching values and ensure the correct derivation of LBNRIND in the LB domain. Please also note that for trials where there is an agreement that LBNRIND will not be derived in SDTM, or oncology trials where generic ranges are used and populated in the standard ranges values but not the original range values, differences will occur which do not require further investigation."
33,Visual check,List all distinct tests with no normal ranges (either original or standard) for continuous measure,"This is a visual based check and not an exception based check. For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, a normal range is typically expected in either LBORNRLO and/or LBORNRHI. This check lists out all continuous tests that are missing ranges. There may be valid reasons (no reference range is expected for a viral load for Hepatitis for example, as it is not ""normal"" to have Hepatitis). For any test that one would expect to have normal ranges for, but where normal ranges are not provided, please ensure that the absence of ranges has been confirmed and documented"
34,Error,"For discrete tests, ensure LBORNRLO and LBORNRHI are both null","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a discrete measure, the standardized list of values considered normal (when available) is expected to be provided in LBSTNRC only. This check lists any discrete tests where LBORNRLO and/or LBORNRHI have been populated. Please ensure that the data are compliant with the rules and that such values are removed."
35,Error,"For discrete results, if LBSTNRC is provided, ensure LBNRIND has been derived correctly","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a discrete measure, LBNRIND is derived by comparing the standardized LBSTRESC with a list of standardized results considered normal and stored in LBSTNRC. This check performs the LBNRIND derivation for discrete results and compares the derived LBNRIND with the LBNRIND delivered in the LB domain, and displays records where there is a mismatch. Please check each mismatch and ensure that LBNRIND is derived correctly. This check supplements check 23 and 24 which is a visual check to make sure that derivations for discrete tests look logical and make sense."
36,Error,The standard units of the LB value level metadata (VALDEF.STDUNIT) must match with trial LUDWIG (Only applicable for J&J Pharma Standards). If output for check36 is needed run the program with the parameter VLMCHECK = YES,"If using J&J Pharma Standards and VALDEF is present, this check details any diffference between the standard unit is the value level metadata with the LBSTRESU delivered in the LB domain. Please investigate the difference and correct as appropriate"
37,Error,The LB.LBSTRESU values must match with the standard units of the LB value level metadata (VALDEF.STDUNIT)(make sure that check no.36 has no output) (Only applicable for J&J Pharma Standards). If output for check37 is needed run the program with the parameter VLMCHECK = YES,"If using J&J Pharma Standards and VALDEF is present, this check details any diffference between the standard unit is the value level metadata with the LBSTRESU delivered in the LB domain. Please investigate the difference and correct as appropriate"
40,Error,LB.LBTESTCD/LB.LBTEST should be a unique combination and match with trial LUDWIG,
41,Error,"List out any continuous measure records where the LBORRES is not a numeric value, the list should contain the lborres, lborresu, lbornlo, lbornrhi and lbnrind","For some tests where a continuous (numeric) value is expected, it is possible to have a result which is a true character. Example included results such as Below Quantifiable Limits and Too Numerous to Count. This check lists all such textual results when reported for test where a continuous measure is expected. Please review the list to ensure that the results make sense for the test, and also ensure that if an LBNRIND has been derived, that it makes sense given the result and the reference ranges (if available)"
42,Information,Trial specific version of LUDWIG_2016-10-28 See additional output-file,"This is a reference tab of the trial specific LUDWIG. This trial specific version is generated based on LUDWIG date that needs to be populated when running the programs. The LUDWIG date should either be the date of version 1.0 of the  tsDTA (when lab are received via electronic transfer), or should be the date of EDC go live if collecting data via EDC. If collecting data both in the eCRF and electronically, it is expected that the same version of LUDWIG was used, and the date should be applicable to both"
43,Information,Current version of LUDWIG_2017-06-02 See additional output-file,This is a reference tab that contains the latest version of the dictionary.
44,Information,Labdict_all LUDWIG See additional output-file,This is a reference tab that contains the LABDICT_ALL table (which provides a complete history of the LUDWIG dictionary)
45,Information,Mapping ORRES to STRESC for discrete values,This is a reference tab that lists the current approved mappings for standardizing LBORRES into LBSTRESC
