VALUEOID,VALVAL,VALLABEL,DATATYPE,LNGTH,DECDIG,NUMFMT,ORIGIN,VARORDER,CODELST,VALUELST,COMMENTS,COMPMETH,II
QS.QSCAT.ACQ.QSTESTCD,ACQ0104,ACQ01-How Much Shortness of Breath,text,17,,,CRF,004,ACQL04,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0105,ACQ01-How Much Time Did You Wheeze,text,29,,,CRF,005,ACQL05,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0106,ACQ01-Puffs/Inhalations Used Each Day,text,40,,,CRF,006,ACQL06,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0107,ACQ01-FEV1 % Predicted Range,text,15,,,CRF,007,ACQL07,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0107A,ACQ01-FEV1 Pre-bronchodilator,text,40,,,CRF,008,,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0107B,ACQ01-FEV1 Predicted,text,40,,,CRF,009,,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0107C,ACQ01-FEV1 % Predicted,text,40,,,CRF,010,,,,,
QS.QSCAT.ACQ.QSTESTCD,QSALL,Questionnaire Tests,text,1,,,CRF,011,,,,,
QS.QSCAT.AD8.QSTESTCD,AD80101,AD801-Problems With Judgment,text,15,,,CRF,001,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80102,AD801-Less Interest Hobbies/Activities,text,15,,,CRF,002,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80103,AD801-Repeats Same Things Over,text,15,,,CRF,003,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80104,AD801-Trouble Learning Use of Tool,text,15,,,CRF,004,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80105,AD801-Forgets Correct Month/Year,text,15,,,CRF,005,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80106,AD801-Trouble Handling Financial Affairs,text,15,,,CRF,006,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80107,AD801-Trouble Remembering Appointments,text,15,,,CRF,007,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80108,AD801-Daily Problems w Thinking/Memory,text,15,,,CRF,008,QSAD81,,,,
QS.QSCAT.AD8.QSTESTCD,AD80109,AD801-Total AD8 Score,integer,2,,,CRF,009,,,,,
QS.QSCAT.AD8.QSTESTCD,QSALL,Questionnaire Tests,text,1,,,CRF,010,,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP101,"AAP1-Balance Statemnt, Pay Bill, Use ATM",text,36,,,CRF,001,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP102,"AAP1-Drive Car, Use Public Transport",text,36,,,CRF,002,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP103,"AAP1-Use Appliance, Do Household Repairs",text,36,,,CRF,003,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP104,AAP1-Did Laundry,text,36,,,CRF,004,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP105,"AAP1-Select, Pay for Items Shopping",text,36,,,CRF,005,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP106,AAP1-Prepare Meals or Snacks,text,36,,,CRF,006,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP107,AAP1-Remember Important Dates and Times,text,36,,,CRF,007,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP108,AAP1-Able to Find Personal Belongings,text,36,,,CRF,008,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP109,AAP1-Able to Write So Others Understand,text,36,,,CRF,009,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP110,"AAP1-Follow/Remember Details, TV, Movies",text,36,,,CRF,010,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP111,"AAP1-Talk About, Remember Current Events",text,36,,,CRF,011,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP112,"AAP1-Make Telephone Calls, Get Numbers",text,36,,,CRF,012,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP113,AAP1-Took Medications Regularly,text,36,,,CRF,013,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP114,AAP1-Plan or Organize Complex Activities,text,36,,,CRF,014,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP115,AAP1-Complete Complex Activities,text,36,,,CRF,015,AAP1L1,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116,AAP1-Ever Used Cellphone/Smartphone,text,3,,,CRF,016,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116A,AAP1-Use Cellphone/Smartphone Last 3 M,text,3,,,CRF,017,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116B1,AAP1-Make a Call,text,3,,,CRF,018,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116B2,AAP1-Send Text Message,text,3,,,CRF,019,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116B3,AAP1-Access Internet,text,3,,,CRF,020,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116B4,AAP1-Use an App,text,3,,,CRF,021,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116C,AAP1-Use Cellphone Less Than Usual,text,3,,,CRF,022,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP116D,"AAP1-Use Cellphone/Smartphone, How Well",text,36,,,CRF,023,AAP1L2,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117,AAP1-Ever Use Computer/Tablet/Device,text,3,,,CRF,024,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117A,AAP1-Use Computer/Device Last 3M,text,3,,,CRF,025,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117B1,"AAP1-Access Website, Email",text,3,,,CRF,026,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117B2,AAP1-Enter Information on Device,text,3,,,CRF,027,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117B3,AAP1-Make Purchases,text,3,,,CRF,028,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117B4,AAP1-Use/Remember Password,text,3,,,CRF,029,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117C,AAP1-Use Computer/Device Less Than Usual,text,3,,,CRF,030,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP117D,"AAP1-Use Computer/Device, How Well",text,36,,,CRF,031,AAP1L2,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118,AAP1-Use E-Reader/Nook/Kindle/Tablet,text,3,,,CRF,032,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118A,AAP1-Use an E-Reader in Last 3M,text,3,,,CRF,033,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118B1,AAP1-Read a Book,text,3,,,CRF,034,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118B2,AAP1-Download Reading Material,text,3,,,CRF,035,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118B3,AAP1-Made Adjustment to Appearance,text,3,,,CRF,036,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118C,AAP1-Used E-Reader Less Than Usual,text,3,,,CRF,037,AAP1YN,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,AAP118D,"AAP1-Used E-Reader, How Well",text,36,,,CRF,038,AAP1L2,,,,
QS.QSCAT.ADCS ADL PREVENTION PARTICIPANT.QSTESTCD,QSALL,Questionnaire Tests,text,1,,,CRF,039,,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP201,"AAP2-Balance Statemnt, Pay Bill, Use ATM",text,35,,,CRF,001,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP201A,AAP2-Difficult Pay Bills,text,23,,,CRF,002,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP202,"AAP2-Drive Car, Use Public Transport",text,35,,,CRF,003,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP202A,AAP2-Difficulty Drive Car/Travel,text,23,,,CRF,004,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP203,"AAP2-Use Appliance, Do Household Repairs",text,35,,,CRF,005,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP203A,AAP2-Difficulty Use Appliance,text,23,,,CRF,006,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP204,AAP2-Did Laundry,text,35,,,CRF,007,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP204A,AAP2-Difficulty Laundry,text,23,,,CRF,008,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP205,"AAP2-Select, Pay for Items Shopping",text,35,,,CRF,009,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP205A,AAP2-Difficulty Select/Pay for Shopping,text,23,,,CRF,010,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP206,AAP2-Prepare Meals or Snacks,text,35,,,CRF,011,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP206A,AAP2-Difficulty Prepare Meals/Snacks,text,23,,,CRF,012,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP207,AAP2-Remember Important Dates and Times,text,35,,,CRF,013,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP207A,AAP2-Difficulty Remember Dates/Times,text,23,,,CRF,014,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP208,AAP2-Able to Find Personal Belongings,text,35,,,CRF,015,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP208A,AAP2-Difficulty Find Personal Belongings,text,23,,,CRF,016,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP209,AAP2-Able to Write So Others Understand,text,35,,,CRF,017,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP209A,AAP2-Difficulty Able to Write,text,23,,,CRF,018,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP210,"AAP2-Follow/Remember Details, TV, Movies",text,35,,,CRF,019,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP210A,AAP2-Difficulty Follow/Remember Story,text,50,,,CRF,020,AAPDIF4,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP211,"AAP2-Talk About, Remember Current Events",text,35,,,CRF,021,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP211A,"AAP2-Difficult Talk, Remember Current",text,50,,,CRF,022,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP212,"AAP2-Make Telephone Calls, Get Numbers",text,35,,,CRF,023,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP212A,AAP2-Difficult Make Telephone Calls,text,23,,,CRF,024,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP213,AAP2-Take Medications Regularly,text,35,,,CRF,025,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP213A,AAP2-Difficulty Take Regular Medications,text,35,,,CRF,026,AAPDIF3,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP214,AAP2-Plan or Organize Complex Activities,text,35,,,CRF,027,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP214A,AAP2-Difficulty Plan/Organize,text,23,,,CRF,028,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP215,AAP2-Complete Complex Activities,text,35,,,CRF,029,AAP1L1SP,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP215A,AAP2-Difficult Complete Complex Activity,text,23,,,CRF,030,AAPDIF,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216,AAP2-Ever Used Cellphone/Smartphone,text,10,,,CRF,031,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216A,AAP2-Use Cellphone/Smartphone Last 3 M,text,10,,,CRF,032,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216B1,AAP2-Make a Call,text,10,,,CRF,033,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216B2,AAP2-Send Text Message,text,10,,,CRF,034,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216B3,AAP2-Access Internet,text,10,,,CRF,035,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216B4,AAP2-Use an App,text,10,,,CRF,036,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216C,AAP2-Use Cellphone Less Than Usual,text,10,,,CRF,037,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP216D,"AAP2-Use Cellphone/Smartphone, How Well",text,35,,,CRF,038,AAP1L2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217,AAP2-Ever Use Computer/Tablet/Device,text,10,,,CRF,039,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217A,AAP2-Use Computer/Device Last 3M,text,10,,,CRF,040,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217B1,"AAP2-Access Website, Email",text,10,,,CRF,041,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217B2,AAP2-Enter Information on Device,text,10,,,CRF,042,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217B3,AAP2-Make Purchases,text,10,,,CRF,043,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217B4,AAP2-Use/Remember Password,text,10,,,CRF,044,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217C,AAP2-Use Computer/Device Less Than Usual,text,10,,,CRF,045,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP217D,"AAP2-Use Computer/Device, How Well",text,35,,,CRF,046,AAP1L2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218,AAP2-Use E-Reader/Nook/Kindle/Tablet,text,10,,,CRF,047,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218A,AAP2-Use an E-Reader in Last 3M,text,10,,,CRF,048,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218B1,AAP2-Read a Book,text,10,,,CRF,049,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218B2,AAP2-Download Reading Material,text,10,,,CRF,050,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218B3,AAP2-Made Adjustment to Appearance,text,10,,,CRF,051,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218C,AAP2-Used E-Reader Less Than Usual,text,10,,,CRF,052,AAP1YN2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,AAP218D,"AAP2-Used E-Reader, How Well",text,35,,,CRF,053,AAP1L2,,,,
QS.QSCAT.ADCS ADL PREVENTION STUDY PARTNER.QSTESTCD,QSALL,Questionnaire Tests,text,1,,,CRF,054,,,,,
QS.QSCAT.ADOS2 MOD 1.QSTESTCD,ADS101,"ADS1-Freq of Spon Vocalztn to Others, SA",integer,1,,,CRF,001,,,,,
QS.QSCAT.ADOS2 MOD 1.QSTESTCD,ADS102,"ADS1-Pointing, SA",integer,1,,,CRF,002,,,,,
QS.QSCAT.ADOS2 MOD 1.QSTESTCD,ADS103,"ADS1-Gestures, SA",integer,1,,,CRF,003,,,,,
QS.QSCAT.ADOS2 MOD 1.QSTESTCD,ADS104,"ADS1-Unusual Eye Contact, SA",integer,1,,,CRF,004,,,,,
QS.QSCAT.ADOS2 MOD 1.QSTESTCD,ADS105,"ADS1-Facial Expressions to Others, SA",integer,1,,,CRF,005,,,,,
